Folio	Emisión	RUT Emisor	Emisor	Vencimiento	Sucursal	RUT Cliente	Cliente	Email	TimeStamp	Descripción	Monto Total
1063041	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:34	Comision Giro de Dinero CL438319065	2100
577331	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:31	Comision Giro de Dinero CL438309765	6117
1213387	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:39	Comision Giro de Dinero CL438393165	4200
1063044	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:38	Comision Giro de Dinero CL438264465	1501
577342	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:39	Comision Giro de Dinero CL438392265	6962
1213390	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:44	Comision Giro de Dinero CL438441865	4063
577351	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:46	Comision Giro de Dinero CL438470365	5813
577350	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:45	Comision Giro de Dinero CL438459665	2913
1511257	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:43	Comision Giro de Dinero CL438438065	2913
1063048	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:48	Comision Giro de Dinero CL438385665	1748
577353	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:49	Comision Giro de Dinero CL438497065	11650
1063050	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:51	Comision Giro de Dinero CL438404665	4094
1213392	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:52	Comision Giro de Dinero CL438527165	1501
1552997	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:53	Comision Giro de Dinero CL438530165	1501
1063051	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:53	Comision Giro de Dinero CL438413865	3127
1213395	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:55	Comision Giro de Dinero CL438567165	2038
577290	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:25	Comision Giro de Dinero CL437692365	3932
1213359	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:32	Comision Giro de Dinero CL437749665	7282
577292	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:34	Comision Giro de Dinero CL437767865	1501
577293	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:35	Comision Giro de Dinero CL437777965	1501
577294	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:35	Comision Giro de Dinero CL437779165	5825
1063059	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:04	Comision Giro de Dinero CL438538365	1000
577360	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:03	Comision Giro de Dinero CL438666365	1501
1213403	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:07	Comision Giro de Dinero CL438709165	3058
1553002	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:07	Comision Giro de Dinero CL438715365	1501
1063060	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:06	Comision Giro de Dinero CL438509265	6962
1213404	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:09	Comision Giro de Dinero CL438737265	1501
1553003	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:09	Comision Giro de Dinero CL438735865	24000
1213401	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:05	Comision Giro de Dinero CL438685565	2913
577362	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:05	Comision Giro de Dinero CL438691665	1501
577358	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:02	Comision Giro de Dinero CL438644865	1660
1063065	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:13	Comision Giro de Dinero CL438598665	1748
577366	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:15	Comision Giro de Dinero CL438812465	1501
1213406	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:13	Comision Giro de Dinero CL438790665	6962
577365	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:11	Comision Giro de Dinero CL438765265	16209
1063070	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:20	Comision Giro de Dinero CL438679565	4368
577372	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:21	Comision Giro de Dinero CL438897265	1501
1553005	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:17	Comision Giro de Dinero CL438839665	42000
1553007	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:22	Comision Giro de Dinero CL438914465	30000
577373	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:21	Comision Giro de Dinero CL438909965	1501
1553010	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:28	Comision Giro de Dinero CL439010865	2913
1553011	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:30	Comision Giro de Dinero CL439021065	29126
1553012	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:36	Comision Giro de Dinero CL439101965	17475
1213419	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:33	Comision Giro de Dinero CL439074465	5825
1213357	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:29	Comision Giro de Dinero CL437726865	1501
1063001	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:59	Comision Giro de Dinero CL437938065	10800
1063005	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:03	Comision Giro de Dinero CL438017565	1000
803713	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:01	Comision Giro de Dinero CL437971665	6077
1511254	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:58	Comision Giro de Dinero CL437975565	3194
1063033	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:27	Comision Giro de Dinero CL438193765	5065
577349	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:44	Comision Giro de Dinero CL438451465	1501
1552996	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:49	Comision Giro de Dinero CL438500365	1501
1213415	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:26	Comision Giro de Dinero CL438960065	2543
1063004	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:02	Comision Giro de Dinero CL437950865	1000
1063019	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:15	Comision Giro de Dinero CL438122565	2622
1063035	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:29	Comision Giro de Dinero CL438214165	4165
1063056	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:58	Comision Giro de Dinero CL438550365	17475
1553001	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:00	Comision Giro de Dinero CL438612665	2054
1511259	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:57	Comision Giro de Dinero CL438586665	2027
1063063	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:09	Comision Giro de Dinero CL438566565	2783
1213402	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:05	Comision Giro de Dinero CL438694765	5243
1063080	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:31	Comision Giro de Dinero CL438749265	2486
577296	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:37	Comision Giro de Dinero CL437795765	9903
1213370	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:53	Comision Giro de Dinero CL437931765	14563
803729	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:14	Comision Giro de Dinero CL438103565	5825
1063017	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:14	Comision Giro de Dinero CL438080765	1527
803730	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:15	Comision Giro de Dinero CL438112065	1501
803724	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:11	Comision Giro de Dinero CL438066765	1501
803733	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:16	Comision Giro de Dinero CL438129365	2913
1063023	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:18	Comision Giro de Dinero CL438108165	3069
1063024	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:18	Comision Giro de Dinero CL438145265	1748
803734	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:17	Comision Giro de Dinero CL438129465	3203
1063022	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:17	Comision Giro de Dinero CL438132065	1800
577336	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:36	Comision Giro de Dinero CL438356665	1501
1552993	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:39	Comision Giro de Dinero CL438393865	4368
577338	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:37	Comision Giro de Dinero CL438372865	2447
577339	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:38	Comision Giro de Dinero CL438375865	3612
1552990	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:37	Comision Giro de Dinero CL438363765	48720
577343	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:41	Comision Giro de Dinero CL438410465	6117
577355	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:59	Comision Giro de Dinero CL438617465	5563
1213408	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:15	Comision Giro de Dinero CL438813965	1501
1063067	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:15	Comision Giro de Dinero CL438642265	3203
577367	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:16	Comision Giro de Dinero CL438833365	2400
577380	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:30	Comision Giro de Dinero CL439022765	5825
1213416	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:28	Comision Giro de Dinero CL439007365	3481
577379	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:30	Comision Giro de Dinero CL439021665	1501
1213368	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:46	Comision Giro de Dinero CL437872765	3203
577324	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:22	Comision Giro de Dinero CL438212565	17360
1063029	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:23	Comision Giro de Dinero CL438173665	1501
1063045	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:42	Comision Giro de Dinero CL438322065	1000
1063053	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:55	Comision Giro de Dinero CL438442765	6408
1213393	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:53	Comision Giro de Dinero CL438536165	2038
1063054	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:56	Comision Giro de Dinero CL438462365	5250
1063082	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:32	Comision Giro de Dinero CL438769965	1501
1213418	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:32	Comision Giro de Dinero CL439054365	1501
577298	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:40	Comision Giro de Dinero CL437814665	3728
577333	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:33	Comision Giro de Dinero CL438330065	6000
577374	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:22	Comision Giro de Dinero CL438913065	2083
1213411	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:18	Comision Giro de Dinero CL438863265	14400
1213412	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:19	Comision Giro de Dinero CL438870665	6962
1063069	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:19	Comision Giro de Dinero CL438663565	7282
1063068	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:17	Comision Giro de Dinero CL438650165	3787
577378	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:27	Comision Giro de Dinero CL438988165	3600
577300	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:46	Comision Giro de Dinero CL437875165	5243
803740	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:19	Comision Giro de Dinero CL438164465	2185
577321	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:17	Comision Giro de Dinero CL438162565	5825
803737	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:18	Comision Giro de Dinero CL438145965	1501
577322	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:18	Comision Giro de Dinero CL438177165	1952
1213376	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:22	Comision Giro de Dinero CL438208265	1742
577341	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:39	Comision Giro de Dinero CL438394665	1501
1063042	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:36	Comision Giro de Dinero CL438334865	6939
1063043	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:37	Comision Giro de Dinero CL438258565	1501
1552991	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:38	Comision Giro de Dinero CL438368965	3203
577359	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:02	Comision Giro de Dinero CL438655065	3000
1063064	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:11	Comision Giro de Dinero CL438574965	3470
577369	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:18	Comision Giro de Dinero CL438861765	1501
1213358	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:29	Comision Giro de Dinero CL437728765	1748
577297	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:38	Comision Giro de Dinero CL437807965	1501
577295	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:35	Comision Giro de Dinero CL437782665	2913
1063003	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:01	Comision Giro de Dinero CL437948665	11102
803712	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:00	Comision Giro de Dinero CL437958065	5825
1213371	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:00	Comision Giro de Dinero CL437996065	3145
577309	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:58	Comision Giro de Dinero CL437980465	1501
1063014	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:10	Comision Giro de Dinero CL438068965	3058
803727	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:12	Comision Giro de Dinero CL438086065	6395
1063015	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:12	Comision Giro de Dinero CL438072165	4104
577320	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:15	Comision Giro de Dinero CL438145165	1501
803731	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:15	Comision Giro de Dinero CL438120165	1501
803728	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:14	Comision Giro de Dinero CL438096965	5829
1063018	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:14	Comision Giro de Dinero CL438095065	3480
1063031	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:25	Comision Giro de Dinero CL438190865	1501
1213379	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:25	Comision Giro de Dinero CL438251065	4368
1063028	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:22	Comision Giro de Dinero CL438164265	1501
577346	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:42	Comision Giro de Dinero CL438430065	1666
577340	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:38	Comision Giro de Dinero CL438385265	3787
577352	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:47	Comision Giro de Dinero CL438480665	21000
1552994	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:43	Comision Giro de Dinero CL438430465	1501
1063055	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:57	Comision Giro de Dinero CL438420765	1501
1213396	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:56	Comision Giro de Dinero CL438584565	1501
577377	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:24	Comision Giro de Dinero CL438943065	1501
577382	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:33	Comision Giro de Dinero CL439071065	1501
577383	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:33	Comision Giro de Dinero CL439069065	1501
1213364	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:41	Comision Giro de Dinero CL437811965	1501
1063010	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:07	Comision Giro de Dinero CL438030865	3054
1213372	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:04	Comision Giro de Dinero CL438032265	3189
1063008	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:05	Comision Giro de Dinero CL438023065	6939
803718	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:05	Comision Giro de Dinero CL438000165	1501
1063026	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:19	Comision Giro de Dinero CL438136465	1501
577323	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:20	Comision Giro de Dinero CL438198765	1501
577329	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:29	Comision Giro de Dinero CL438289065	2797
577328	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:28	Comision Giro de Dinero CL438276865	3000
1213380	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:27	Comision Giro de Dinero CL438263965	13922
1213409	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:16	Comision Giro de Dinero CL438827565	1501
1553004	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:13	Comision Giro de Dinero CL438784165	39320
803708	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:56	Comision Giro de Dinero CL437939465	4952
577307	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:57	Comision Giro de Dinero CL437968265	2038
577308	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:57	Comision Giro de Dinero CL437973165	1501
1063036	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:30	Comision Giro de Dinero CL438237965	7091
577335	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:35	Comision Giro de Dinero CL438355565	3600
1213385	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:35	Comision Giro de Dinero CL438344565	1756
1063040	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:33	Comision Giro de Dinero CL438312165	17475
1063037	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:30	Comision Giro de Dinero CL438250365	1501
1213394	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:54	Comision Giro de Dinero CL438551965	1501
1063049	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:50	Comision Giro de Dinero CL438392765	5243
1063061	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:07	Comision Giro de Dinero CL438520265	1501
577363	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:06	Comision Giro de Dinero CL438698665	4368
577375	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:24	Comision Giro de Dinero CL438939265	2318
1063081	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:31	Comision Giro de Dinero CL438713465	1501
1553009	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:27	Comision Giro de Dinero CL438988565	35010
1553008	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:27	Comision Giro de Dinero CL438981265	34951
1063078	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:29	Comision Giro de Dinero CL438724665	1501
1213421	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:37	Comision Giro de Dinero CL439125065	4602
1553013	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 10:37	Comision Giro de Dinero CL439116265	43690
1213369	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:46	Comision Giro de Dinero CL437875965	2913
577302	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:49	Comision Giro de Dinero CL437893265	6962
1552986	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:54	Comision Giro de Dinero CL437944165	1501
803710	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:57	Comision Giro de Dinero CL437945165	1501
577332	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:32	Comision Giro de Dinero CL438320465	2913
577334	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:33	Comision Giro de Dinero CL438331065	6612
577344	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:41	Comision Giro de Dinero CL438414865	4952
577345	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:41	Comision Giro de Dinero CL438416965	1501
1063046	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:43	Comision Giro de Dinero CL438347165	1000
1213391	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:47	Comision Giro de Dinero CL438472965	1501
577310	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:00	Comision Giro de Dinero CL437998965	2330
1552984	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:38	Comision Giro de Dinero CL437805965	1501
1213361	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:35	Comision Giro de Dinero CL437778965	2622
577311	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:00	Comision Giro de Dinero CL438004265	1501
577313	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:02	Comision Giro de Dinero CL438013165	1573
1063000	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 8:58	Comision Giro de Dinero CL437935365	1501
577314	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:04	Comision Giro de Dinero CL438036565	1501
577318	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:08	Comision Giro de Dinero CL438077265	1501
1213373	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:06	Comision Giro de Dinero CL438058665	7200
577319	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:11	Comision Giro de Dinero CL438114265	3350
803726	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:12	Comision Giro de Dinero CL438079665	4501
803723	05-08-2017	76134934-1				66666666-6	Cliente Boleta		05-08-2017 9:10	Comision Giro de Dinero CL438017465	1000
